,Phrase,Category,Score
0,абсолютное преимущество,"Международная экономика, торговля и финансы",2.0
1,абсолютное преимущество,"Государственные финансы, бюджет и налоги",2.0
2,авиакомпания,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
3,авиакомпания,"Международная экономика, торговля и финансы",0.0
4,автоматизация,Инновации,1.0
5,авторизованный,Общеэкономическое,0.0
6,агентство,Маркетинг и реклама,0.0
7,агентство ,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
8,агрессивная реклама,Маркетинг и реклама,-2.0
9,адаптация к изменениям климата,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",2.0
10,адекватно,Общеэкономическое,1.0
11,адекватность,Общеэкономическое,1.0
12,адекватный,Общеэкономическое,1.0
13,административный,"Государственные финансы, бюджет и налоги",0.0
14,административный барьер,"Международная экономика, торговля и финансы",-1.0
15,административный барьер,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
16,административный барьер,Потребление и розничная торговля,-1.0
17,административный барьер,"Государственные финансы, бюджет и налоги",-1.0
18,администрация ,"Государственные финансы, бюджет и налоги",0.0
19,акселератор экспортного роста,"Государственные финансы, бюджет и налоги",1.0
20,акселератор экспортного роста,"Международная экономика, торговля и финансы",1.0
21,акселератор экспортного роста,"Монетарная политика, валюта, деньги и кредит, банки",1.0
22,актив,"Государственные финансы, бюджет и налоги",0.0
23,актив,Фондовые и товарные рынки,0.0
24,актив,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
25,активность,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
26,актуальный,Инновации,1.0
27,акцизный сбор,"Государственные финансы, бюджет и налоги",0.0
28,акционер,Общеэкономическое,0.0
29,акционер,"Монетарная политика, валюта, деньги и кредит, банки",0.0
30,акционер,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
31,акционерное общество,Фондовые и товарные рынки,0.0
32,акционерное общество ,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
33,акционерный,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
34,акционерный,Фондовые и товарные рынки,0.0
35,акционерный капитал,"Государственные финансы, бюджет и налоги",0.0
36,акционерный капитал,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
37,акционерный капитал,Фондовые и товарные рынки,0.0
38,акционерный капитал,"Международная экономика, торговля и финансы",0.0
39,акционерный капитал,"Монетарная политика, валюта, деньги и кредит, банки",0.0
40,акция,Маркетинг и реклама,0.0
41,акция,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
42,акция,Фондовые и товарные рынки,0.0
43,акция,Потребление и розничная торговля,0.0
44,акция,"Государственные финансы, бюджет и налоги",0.0
45,альтернативная стоимость,Общеэкономическое,0.0
46,аморальный,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
47,аннулировать,"Государственные финансы, бюджет и налоги",-1.0
48,антидемпинговая мера,Потребление и розничная торговля,1.0
49,антидемпинговая мера,"Международная экономика, торговля и финансы",1.0
50,антиконкурентный,"Реальный сектор экономики (производство, промышленность, добыча)",-1.0
51,антикоррупционный,"Государственные финансы, бюджет и налоги",1.0
52,антимонопольный,"Государственные финансы, бюджет и налоги",1.0
53,антитрестовский,"Реальный сектор экономики (производство, промышленность, добыча)",1.0
54,апеллянт,"Государственные финансы, бюджет и налоги",0.0
55,апелляционный,"Государственные финансы, бюджет и налоги",0.0
56,апелляционный орган,"Монетарная политика, валюта, деньги и кредит, банки",0.0
57,апелляционный орган,"Международная экономика, торговля и финансы",0.0
58,апелляция,"Государственные финансы, бюджет и налоги",0.0
59,арбитраж,Фондовые и товарные рынки,0.0
60,арбитраж,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
61,арбитраж,"Монетарная политика, валюта, деньги и кредит, банки",0.0
62,аргумент,Маркетинг и реклама,1.0
63,аргументированный,Маркетинг и реклама,1.0
64,аренда,"Государственные финансы, бюджет и налоги",0.0
65,аренда,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
66,арендная плата,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
67,арест,"Государственные финансы, бюджет и налоги",-2.0
68,арестовывать,"Государственные финансы, бюджет и налоги",-2.0
69,ассигнация,"Монетарная политика, валюта, деньги и кредит, банки",0.0
70,ассигнация,Фондовые и товарные рынки,0.0
71,ассортимент,"Международная экономика, торговля и финансы",0.0
72,аудит,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
73,аудитор,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
74,аудиторское заключение,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
75,аффилированное лицо,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
76,аффилированное лицо,Фондовые и товарные рынки,0.0
77,баланс,"Международная экономика, торговля и финансы",0.0
78,баланс,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
79,балансовая стоимость,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
80,балансовая стоимость активов,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
81,балансовый ,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
82,банк,"Государственные финансы, бюджет и налоги",0.0
83,банк,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
84,банк,"Монетарная политика, валюта, деньги и кредит, банки",0.0
85,банк,Общеэкономическое,0.0
86,банк,"Международная экономика, торговля и финансы",0.0
87,банк получателя,"Монетарная политика, валюта, деньги и кредит, банки",0.0
88,банковская карта,"Монетарная политика, валюта, деньги и кредит, банки",0.0
89,банковский,"Монетарная политика, валюта, деньги и кредит, банки",0.0
90,банковский,"Международная экономика, торговля и финансы",0.0
91,банковский,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
92,банковский,Общеэкономическое,0.0
93,банковский,"Государственные финансы, бюджет и налоги",0.0
94,банковский ,"Монетарная политика, валюта, деньги и кредит, банки",0.0
95,банковскик перевод,"Монетарная политика, валюта, деньги и кредит, банки",0.0
96,банкомат,Потребление и розничная торговля,0.0
97,банкомат,"Монетарная политика, валюта, деньги и кредит, банки",0.0
98,банкрот,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-2.0
99,банкротство ,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-2.0
100,баррель нефти,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
101,баррель нефти,"Международная экономика, торговля и финансы",0.0
102,баррель нефти,"Государственные финансы, бюджет и налоги",0.0
103,баррель нефти,Фондовые и товарные рынки,0.0
104,барьер,"Реальный сектор экономики (производство, промышленность, добыча)",-1.0
105,барьеры,"Реальный сектор экономики (производство, промышленность, добыча)",-1.0
106,беда,Общеэкономическое,-2.0
107,бедный,Общеэкономическое,-1.0
108,бедственный,Общеэкономическое,-2.0
109,бедствие,Общеэкономическое,-2.0
110,бедствия,Общеэкономическое,-2.0
111,без объяснения причин,Общеэкономическое,-1.0
112,безвозвратно,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
113,безвозмездно,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
114,безвозмездный,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
115,бездействие,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
116,безнадёжная задолженность,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-2.0
117,безнадёжный к взысканию,"Монетарная политика, валюта, деньги и кредит, банки",-2.0
118,безнадёжный к взысканию,"Государственные финансы, бюджет и налоги",-2.0
119,безопасность,"Реальный сектор экономики (производство, промышленность, добыча)",1.0
120,безопасность,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
121,безопасность,"Монетарная политика, валюта, деньги и кредит, банки",1.0
122,безопасность труда в промшленности,"Реальный сектор экономики (производство, промышленность, добыча)",1.0
123,безопасность труда в промышленности,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
124,безопасный,Общеэкономическое,1.0
125,безопасный,"Реальный сектор экономики (производство, промышленность, добыча)",1.0
126,безработица,Макроэкономика,-1.0
127,безработный,Общеэкономическое,-1.0
128,безрассудный,Общеэкономическое,-1.0
129,безрассудство,Общеэкономическое,-1.0
130,безрезультатно,Общеэкономическое,-1.0
131,безымянный,Общеэкономическое,-1.0
132,бенифициар,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
133,бесконтрольно,Общеэкономическое,-1.0
134,бескорыстие,Общеэкономическое,1.0
135,бескорыстно,Общеэкономическое,1.0
136,беспечно,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
137,беспечный,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
138,бесплатное обслуживание,Потребление и розничная торговля,1.0
139,бесплатное обслуживание,Фондовые и товарные рынки,1.0
140,беспокоить,Общеэкономическое,-1.0
141,беспокойный,Общеэкономическое,-1.0
142,беспокойство,Общеэкономическое,-1.0
143,бесполезный,Общеэкономическое,-1.0
144,беспорядки,"Государственные финансы, бюджет и налоги",-2.0
145,беспорядочно,Общеэкономическое,-1.0
146,бесславно,Общеэкономическое,-1.0
147,бессовестно,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
148,бессовестный,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
149,бессознательно,Общеэкономическое,0.0
150,бесчестие,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
151,бесчестно,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
152,бесчестный,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
153,бесчинство,Общеэкономическое,-1.0
154,бизнес,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
155,бизнес,Макроэкономика,0.0
156,бизнес,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
157,бизнес,Потребление и розничная торговля,0.0
158,бизнес,"Международная экономика, торговля и финансы",0.0
159,бизнес,Маркетинг и реклама,0.0
160,бизнес,Общеэкономическое,0.0
161,бизнес-сообщество,Фондовые и товарные рынки,1.0
162,бизнес-центр,Общеэкономическое,0.0
163,биоразнообразие,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
164,биоресурсы,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
165,биржа,Фондовые и товарные рынки,0.0
166,биржа,"Международная экономика, торговля и финансы",0.0
